Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-11-07,64.42845169654618,65.94160445579757,64.14971303036829,65.18502807617188,5420600,0.0,0
2000-11-08,66.10523064136505,66.18497157096863,63.31429810523987,63.79274368286133,6990800,0.13,0
2000-11-09,61.719435820708405,63.79269852269603,61.04163839890476,63.43386459350586,9047900,0.0,0
2000-11-10,62.516848410329516,62.75607104455271,59.327213287353516,59.327213287353516,6807900,0.0,0
2000-11-13,58.5696801851773,63.4338741828571,58.4500688573655,62.15802001953125,8684900,0.0,0
2000-11-14,63.314273086624524,63.71297757709445,62.83582769806061,63.4737548828125,5150900,0.0,0
2000-11-15,63.47374952784124,63.832583538991095,62.27763615734172,63.39400863647461,4160300,0.0,0
2000-11-16,63.314257595071965,63.59335067011321,62.67633056640625,62.67633056640625,3739700,0.0,0
2000-11-17,62.716215759314764,65.3875358202646,62.67634531064387,65.02870178222656,7717400,0.0,0
2000-11-20,64.74960197836666,65.86597442626953,64.35089753268706,65.86597442626953,7426600,0.0,0
2000-11-21,65.86595696967265,66.58362478169087,62.8358039855957,62.8358039855957,7180700,0.0,0
2000-11-22,62.8358039855957,64.31101004363316,62.716192683592666,62.8358039855957,5537100,0.0,0
2000-11-24,63.39398897611177,64.90906544220753,63.31424810947516,63.75282287597656,2497500,0.0,0
2000-11-27,64.07179442632766,65.06855538504465,62.79594039916992,62.79594039916992,3866200,0.0,0
2000-11-28,62.99532017031849,64.27117475604646,62.11817014263051,62.4371337890625,4799100,0.0,0
2000-11-29,62.35737112065592,63.752836586911,61.679573608474875,63.673095703125,5524600,0.0,0
2000-11-30,62.51682293733811,62.51682293733811,58.8487440405045,59.64615249633789,10651400,0.0,0
2000-12-01,60.24427313960456,63.3541694366854,60.204402674257366,61.00181198120117,7525100,0.0,0
2000-12-04,61.24098882226811,63.27438102925748,61.08150708054345,62.756065368652344,5566800,0.0,0
2000-12-05,64.07179109418838,66.8228511971747,63.55347542261126,65.9457015991211,7804200,0.0,0
2000-12-06,64.90909969714261,64.94897015150202,60.483479263246515,61.71946334838867,10096900,0.0,0
2000-12-07,60.64295493772366,61.2011412422129,59.4069709777832,59.4069709777832,7922000,0.0,0
2000-12-08,62.51686780477307,63.15479502727076,61.08153155415329,61.87894058227539,6140600,0.0,0
2000-12-11,61.559963748329565,62.676336147910675,59.80566426327354,60.60307312011719,6185600,0.0,0
2000-12-12,60.76256012694337,61.32074637482867,59.008260490732404,59.88541030883789,7913300,0.0,0
2000-12-13,60.52332367570433,61.63969591741693,57.8520043830349,58.210838317871094,6992600,0.0,0
2000-12-14,58.6893020846539,59.765804228869705,58.5696907352966,58.9683952331543,6131400,0.0,0
2000-12-15,57.41344823871219,57.85202319053569,55.69901888158398,56.017982482910156,14254500,0.0,0
2000-12-18,56.37682260861054,57.732418060302734,56.37682260861054,57.732418060302734,7693800,0.0,0
2000-12-19,57.53306503401715,60.24425590187104,57.293842310382985,57.493194580078125,7705300,0.0,0
2000-12-20,54.7820182567419,56.13761405057686,54.104220359824424,54.861759185791016,12579400,0.0,0
2000-12-21,54.542755547885236,56.09770252622407,51.07402767312938,52.03091812133789,12725500,0.0,0
2000-12-22,53.904833461461436,57.014727699622675,53.904833461461436,56.77550506591797,9514000,0.0,0
2000-12-26,56.77551049139013,57.1343444762374,53.74535684156875,54.104190826416016,6052300,0.0,0
2000-12-27,54.064307383857525,56.217310775250084,53.306769153552736,54.024436950683594,8245100,0.0,0
2000-12-28,53.26692056516049,56.25720427952204,52.389770675614436,54.38329315185547,9798600,0.0,0
2000-12-29,55.4597843506757,55.4597843506757,53.74535535924575,54.22380065917969,6943700,0.0,0
2001-01-02,53.90483861261198,55.81861986513075,53.665615956047134,54.104190826416016,8007200,0.0,0
2001-01-03,53.42640280881047,60.6030837831283,53.42640280881047,60.363861083984375,12769900,0.0,0
2001-01-04,60.4435801924994,63.63321503115372,59.12785582155448,59.44681930541992,15420500,0.0,0
2001-01-05,59.92527085669497,60.40371613299593,58.05136019118289,59.96514129638672,8043200,0.0,0
2001-01-08,59.6461952224762,59.92528838193966,58.4102112305666,59.686065673828125,6064800,0.0,0
2001-01-09,60.24423172955252,61.08151092632327,58.330450708362235,59.048118591308594,7547100,0.0,0
2001-01-10,59.0082438287129,60.56319079446952,58.48992817346069,59.606300354003906,7656100,0.0,0
2001-01-11,59.287317267094075,60.12459612560717,58.21081587757723,59.76576232910156,9635000,0.0,0
2001-01-12,59.76579058225913,61.520089972265396,58.928511327937954,59.84553146362305,6448000,0.0,0
2001-01-16,59.80568240594992,59.96516422569912,58.56969830289362,59.167755126953125,5671900,0.0,0
2001-01-17,60.842297549700845,62.357374421842806,60.164500001637336,61.6795768737793,9727000,0.0,0
2001-01-18,66.58366586868982,70.17200714305035,66.02547944823374,69.09550476074219,25244900,0.0,0
2001-01-19,68.57713472173455,72.68378871960586,68.41765301307936,70.9693603515625,14762200,0.0,0
2001-01-22,69.8530080528457,70.13210112154998,69.01572884673281,69.25495147705078,9618500,0.0,0
2001-01-23,69.89290773233233,70.13213046273393,68.65692362525743,69.57394409179688,9826900,0.0,0
2001-01-24,69.57392294796834,71.0889997800731,69.49418206206809,70.4510726928711,6760900,0.0,0
2001-01-25,70.25172432066356,70.88965144275812,69.81314942422355,70.65042877197266,4982100,0.0,0
2001-01-26,69.93275018200302,73.52108970103397,69.65365710830062,72.84329223632812,9095200,0.0,0
2001-01-29,71.7668077752937,73.68058931596819,71.74767073860666,73.34886932373047,5125000,0.0,0
2001-01-30,73.36162400831284,74.47799654756977,72.34094151724896,74.38868713378906,8242000,0.0,0
2001-01-31,73.84008819716317,74.47801552500043,71.44786071777344,71.44786071777344,8314200,0.0,0
2001-02-01,71.70302662863463,72.94060223163017,70.93751097901999,72.75560760498047,5580800,0.0,0
2001-02-02,71.92627665747685,72.71730485618343,69.91680542712793,70.3442153930664,5428400,0.0,0
2001-02-05,69.78923373723649,71.83059874513815,69.7254419933017,71.58818817138672,5113700,0.0,0
2001-02-06,71.59455792351615,73.8017850237485,70.9374889465678,72.84489440917969,7526400,0.0,0
2001-02-07,72.42338443174243,75.10573001817765,71.95716473999403,74.6650619506836,9006900,0.13,0
2001-02-08,74.6650669161976,75.48892656903729,72.82573965113599,72.87044525146484,8380800,0.0,0
2001-02-09,72.82571799518857,73.43882527704305,70.89059707096645,71.52925109863281,6318800,0.0,0
2001-02-12,70.6032183330527,73.90505912389041,70.44355479532308,73.38136291503906,6729300,0.0,0
2001-02-13,72.90239723151151,74.96524811576448,72.21264934324311,72.64693450927734,7193200,0.0,0
2001-02-14,72.64689700058736,74.19243860692563,71.84857945113035,73.50907897949219,7032900,0.0,0
2001-02-15,74.59480706169217,75.76992836505677,74.32656861414632,74.58203125,8098700,0.0,0
2001-02-16,73.15782855344612,73.92421151866083,72.76824916557449,73.44522094726562,7073000,0.0,0
2001-02-20,73.157850840888,73.82843492160741,70.75012143987185,71.20995330810547,6748300,0.0,0
2001-02-21,69.96454444331046,71.20991773723134,68.52118510513162,68.66168975830078,9156900,0.0,0
2001-02-22,68.01668245206355,70.82676232600065,66.02407929653458,69.54945373535156,11709000,0.0,0
2001-02-23,68.65531022732074,68.65531022732074,64.0250683747805,66.4200210571289,15276600,0.0,0
2001-02-26,67.56960168911094,67.56960168911094,65.03414428409589,67.25027465820312,8344100,0.0,0
2001-02-27,66.99482574756068,68.25297528601352,65.50037240383794,65.51953125,9787900,0.0,0
2001-02-28,65.74942443546009,66.12623281247383,63.290607618999914,63.80153274536133,11933200,0.0,0
2001-03-01,63.418355653061646,67.95279890109774,62.268776295511444,67.7292709350586,15102000,0.0,0
2001-03-02,66.42005341918428,68.75114280696295,64.46577263741149,65.33434295654297,14745500,0.0,0
2001-03-05,65.66002790678498,67.44187346970385,65.55145787680623,67.00120544433594,6743900,0.0,0
2001-03-06,67.85699016643021,69.2300972948949,67.21833614133439,67.69732666015625,8120000,0.0,0
2001-03-07,68.62338654626701,69.13431181586395,67.48019990431035,68.687255859375,7788900,0.0,0
2001-03-08,68.44458416329134,68.55315423122808,67.29500927960731,67.99752807617188,6793600,0.0,0
2001-03-09,67.05869477804102,67.06508268471347,62.52425067708251,63.41197967529297,16688100,0.0,0
2001-03-12,62.52423558019357,62.84356262108062,60.68490870625602,60.985076904296875,14494800,0.0,0
2001-03-13,60.73602311294503,62.86913101419869,60.16123326694579,62.837196350097656,12127900,0.0,0
2001-03-14,60.92760054248709,63.162889834813335,59.61196981710231,60.64659118652344,14246600,0.0,0
2001-03-15,61.31081368500723,62.505098997362886,60.78072943894464,61.02980422973633,8420000,0.0,0
2001-03-16,59.96961176614769,59.96961176614769,56.329281030988646,57.542724609375,20029400,0.0,0
2001-03-19,58.11751685943796,59.26709606501571,56.967937653860226,59.13936233520508,10235500,0.0,0
2001-03-20,58.50073331364764,58.77535485946549,56.26544324805213,56.3931770324707,10101100,0.0,0
2001-03-21,56.48897157198149,58.50073361592137,56.04191550557071,56.891326904296875,11013000,0.0,0
2001-03-22,56.91687814122573,58.117546580194485,55.97805545532291,56.90410232543945,13328200,0.0,0
2001-03-23,59.7141931456529,60.66578694483733,57.664112874769806,59.7205810546875,12233600,0.0,0
2001-03-26,60.83179796435921,61.09364846239684,59.873816894054336,60.92759704589844,8581200,0.0,0
2001-03-27,60.03353092059418,63.865458426164025,60.01437206267398,63.5461311340332,11851200,0.0,0
2001-03-28,62.524239186646255,62.87549602835644,60.193150679202766,60.29533767700195,11890500,0.0,0
2001-03-29,60.32726849185136,61.99415615976007,60.199539614960656,60.697689056396484,10553700,0.0,0
2001-03-30,61.6301351564133,62.30710710254388,60.76156498616697,61.42576599121094,9461300,0.0,0
2001-04-02,62.23684647967835,62.65197266176708,59.76525797759325,60.45500564575195,8787000,0.0,0
2001-04-03,60.41668057562474,60.44861523159289,57.54273695008984,57.72794723510742,13330000,0.0,0
2001-04-04,57.7662414590203,60.065399323543275,57.51078380522212,58.75615692138672,13515600,0.0,0
2001-04-05,61.18306745856861,63.865412849218046,61.01062811525091,62.72222137451172,12506100,0.0,0
2001-04-06,62.588109890079075,63.86541825518273,61.5662641725051,62.556175231933594,13424200,0.0,0
2001-04-09,62.90745359659195,63.06072927657533,59.905780094808506,61.31081771850586,9486600,0.0,0
2001-04-10,61.949439568804046,63.80153719021513,61.66843024247392,63.25868225097656,10499400,0.0,0
2001-04-11,64.82342538514034,65.10443489676376,61.18309704159448,62.22410202026367,11498400,0.0,0
2001-04-12,61.56626755000361,62.26878621484154,60.76794977801846,61.438533782958984,9390100,0.0,0
2001-04-16,61.43854832880979,63.79518450886849,60.7998939600174,61.78981018066406,9188500,0.0,0
2001-04-17,61.94941902579746,63.78874022832463,61.94941902579746,63.67378234863281,9957300,0.0,0
2001-04-18,65.78139535250239,70.2519756191773,65.3343392748532,68.01668548583984,19814300,0.0,0
2001-04-19,71.52928869010088,74.02004168149755,70.53937247796051,73.10676574707031,25822400,0.0,0
2001-04-20,73.0301137328346,74.33935691622136,72.64692215094308,73.336669921875,12759100,0.0,0
2001-04-23,72.8129470585544,72.83849380436628,71.32488200468131,71.52925109863281,8537500,0.0,0
2001-04-24,72.42339597455039,73.28557827385131,71.72087724447354,71.9571762084961,8742000,0.0,0
2001-04-25,71.52924064306397,73.34940338134766,71.52285273940885,73.34940338134766,6858500,0.0,0
2001-04-26,73.4132890883754,74.5309337975136,72.60220050052027,72.64051818847656,7346100,0.0,0
2001-04-27,74.59482060513375,74.65868505755628,73.15784849917263,74.21162414550781,7390600,0.0,0
2001-04-30,74.33936617230425,75.3931468081224,73.26642668588785,73.53466033935547,7357200,0.0,0
2001-05-01,73.98808998247303,75.77632373709784,73.38137042601728,75.6869125366211,7790800,0.0,0
2001-05-02,75.55280490853569,75.96792630148559,72.64053801536193,73.7007064819336,9706200,0.0,0
2001-05-03,73.18979544478827,73.50912265429655,71.75282300200102,72.61500549316406,6578000,0.0,0
2001-05-04,71.52926333079634,73.99446868896484,71.01833807227291,73.99446868896484,8681400,0.0,0
2001-05-07,74.21159756109512,74.88218625267383,73.44521466147114,74.02000427246094,6088600,0.0,0
2001-05-08,74.97275806962442,75.29247132365268,73.85376168052555,75.260498046875,7605800,0.14,0
2001-05-09,74.30136828079966,75.56743508359202,73.72588824887725,74.80012512207031,7680200,0.0,0
2001-05-10,75.77203553973398,76.0278070995217,73.66192626953125,73.66192626953125,7993900,0.0,0
2001-05-11,72.73478249299222,72.99055413239151,70.95078152819109,71.49429321289062,8390200,0.0,0
2001-05-14,71.10424860293503,72.37031564241148,70.97636521158691,71.97386932373047,5254800,0.0,0
2001-05-15,72.57491282083525,72.99054105056275,71.93548627615829,72.62606811523438,5873400,0.0,0
2001-05-16,71.93548378595582,74.04559326171875,71.74365387781839,74.04559326171875,7796700,0.0,0
2001-05-17,74.04558748768166,74.87044334441403,73.5660176331719,73.57880401611328,6887700,0.0,0
2001-05-18,73.57883332802115,75.24773747683838,73.47013195518662,75.09427642822266,6714900,0.0,0
2001-05-21,75.4203625842205,76.66724733277023,75.16459585692193,76.11734008789062,8409400,0.0,0
2001-05-22,76.53936021547896,76.53936021547896,74.97276703478393,75.45873260498047,6005300,0.0,0
2001-05-23,75.3244437562192,76.05978032949308,74.87684227853396,75.06867218017578,6402600,0.0,0
2001-05-24,75.13260825591082,76.47540283203125,75.13260825591082,76.47540283203125,7726400,0.0,0
2001-05-25,76.42427265364948,76.66725790791209,75.29888523867956,75.324462890625,5629100,0.0,0
2001-05-29,75.03671170562141,75.19017272605433,73.58521544747646,73.70670318603516,5818000,0.0,0
2001-05-30,72.89463518457276,72.95857687132778,71.6157819357206,72.03141021728516,9598700,0.0,0
2001-05-31,72.03140375720909,72.80510931796296,71.38558155849614,71.4878921508789,6724100,0.0,0
2001-06-01,71.93549187732036,72.63886015554439,71.55183689632888,72.18486785888672,5138900,0.0,0
2001-06-04,72.41502995094602,73.37416942049498,72.15925845004585,72.6644058227539,3812200,0.0,0
2001-06-05,72.66446213431149,75.19659171079039,72.61330681880136,74.79375457763672,6154400,0.0,0
2001-06-06,75.19655581038307,76.09175389066655,74.49318763245928,75.13261413574219,9624200,0.0,0
2001-06-07,74.8129064238656,75.61218961215476,74.8129064238656,74.97276306152344,6423700,0.0,0
2001-06-08,75.13261724575699,75.13261724575699,73.91770586354241,74.23741912841797,3099100,0.0,0
2001-06-11,74.36531544498901,75.54185804597213,74.23742719807488,75.04310607910156,6542700,0.0,0
2001-06-12,74.65304978620777,75.32444961574564,73.88573987682514,74.97276306152344,7301500,0.0,0
2001-06-13,74.97276823681578,75.75286946298557,74.51238030803113,74.5187759399414,5703200,0.0,0
2001-06-14,73.91770351713284,74.22463038818283,72.88822644663779,74.01361846923828,7502500,0.0,0
2001-06-15,73.59800253396827,73.82180087390518,72.49818797377782,72.63886260986328,12470100,0.0,0
2001-06-18,72.88183135850129,73.81539342135613,72.45341191504062,73.0672607421875,5182800,0.0,0
2001-06-19,74.33975235165887,74.97278344291122,73.25272399301396,73.4317626953125,6152800,0.0,0
2001-06-20,72.57491901737119,73.52766328432388,71.4623181006005,72.31275177001953,8828300,0.0,0
2001-06-21,71.7116726045095,73.34220701720245,71.20652515697704,71.9994125366211,8155800,0.0,0
2001-06-22,71.99943308236952,73.16958491328556,71.93549139903571,72.17208099365234,5607200,0.0,0
2001-06-25,72.73477852846625,73.47012012224383,71.4751072977968,72.03141021728516,5675900,0.0,0
2001-06-26,71.13623291493826,72.92662994192597,71.04031791734259,72.28080749511719,7081900,0.0,0
2001-06-27,72.31913430849582,73.00971608150385,71.90350611853151,72.58769226074219,4814100,0.0,0
2001-06-28,72.76671775947334,74.78090678111415,72.7347444918389,73.59796905517578,8181000,0.0,0
2001-06-29,73.91772333792224,74.58912330425687,72.25521494323462,72.5749282836914,9477400,0.0,0
2001-07-02,72.57488916361085,73.78980017816022,72.22959835662719,73.11840057373047,5913100,0.0,0
2001-07-03,72.95857872659853,73.0161296610481,72.10174936972942,72.24242401123047,3325800,0.0,0
2001-07-05,71.99943896821556,72.42146289390651,71.48150494890226,71.67972564697266,4419000,0.0,0
2001-07-06,70.9124003249896,70.9124003249896,67.65771688028576,68.09892272949219,11704600,0.0,0
2001-07-09,68.09894072211141,68.38668077378723,66.27657567847497,66.96076202392578,9312600,0.0,0
2001-07-10,66.96716826715239,67.39558303541635,64.9657593399518,65.19595336914062,10266600,0.0,0
2001-07-11,64.96575458379739,66.58350342495484,64.94017692926683,66.40446472167969,8895400,0.0,0
2001-07-12,67.71527395649089,68.93018540114464,67.53623529950902,68.57849884033203,8766400,0.0,0
2001-07-13,67.87514646704099,69.88934158590125,67.84956881314362,69.39698028564453,7841800,0.0,0
2001-07-16,69.39697789924757,69.94048961017029,68.59769453658521,68.94298553466797,5330100,0.0,0
2001-07-17,67.84317318005962,69.42895357262591,66.9799480943877,69.39698028564453,8662400,0.0,0
2001-07-18,67.84316143179468,68.80230133387973,65.98882331207604,66.67940521240234,11670300,0.0,0
2001-07-19,67.52344004557156,67.77921163118802,65.92487373351524,66.50035858154297,13644500,0.0,0
2001-07-20,66.11669396148017,67.58737182617188,65.88010442570005,67.58737182617188,8991700,0.0,0
2001-07-23,67.58738886845579,68.38667210899305,67.33162213423407,67.68330383300781,6315700,0.0,0
2001-07-24,67.04387975872284,67.8751363114784,66.36608910638974,66.82647705078125,7299800,0.0,0
2001-07-25,66.82007441441905,67.58738432234841,65.68829156845763,67.06945037841797,6247600,0.0,0
2001-07-26,66.97992224063513,67.77920532226562,65.81616626891861,67.77920532226562,8428700,0.0,0
2001-07-27,66.97997134495517,67.7472817144759,66.57073849741874,66.947998046875,4346500,0.0,0
