Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-30,5.7114,5.7674,5.6803,5.7674,2102100,0.0,0.0
2000-08-31,5.7114,5.7611,5.6368,5.699,3796800,0.0,0.0
2000-09-01,6.1962,6.3018,6.134,6.2832,9579300,0.0,0.0
2000-09-05,6.3764,6.395,6.2148,6.2397,4576500,0.0,0.0
2000-09-06,6.2148,6.2645,6.1651,6.1837,3756900,0.0,0.0
2000-09-07,6.103,6.221,6.0657,6.1775,2807400,0.0,0.0
2000-09-08,6.134,6.134,6.0222,6.0222,1349700,0.0,0.0
2000-09-11,6.0222,6.103,5.9849,6.0532,1561800,0.0,0.0
2000-09-12,6.1775,6.2024,6.103,6.1092,2421600,0.0,0.0
2000-09-13,6.0408,6.134,6.0222,6.1154,2865000,0.0,0.0
2000-09-14,6.2397,6.3205,6.1713,6.2956,5140500,0.0,0.0
2000-09-15,6.2708,6.3143,6.1713,6.2272,3484500,0.0,0.0
2000-09-18,6.1216,6.1216,5.9787,5.9849,3412200,0.0,0.0
2000-09-19,5.9414,6.047,5.873,6.047,2466900,0.0,0.0
2000-09-20,5.9849,5.9849,5.6928,5.7736,3842700,0.0,0.0
2000-09-21,5.6679,5.8109,5.6617,5.7549,2568000,0.0,0.0
2000-09-22,5.8792,6.1589,5.8792,6.1589,5057700,0.0,0.0
2000-09-25,6.2024,6.2397,6.0719,6.1278,1716300,0.0,0.0
2000-09-26,6.0781,6.1154,5.9289,5.9538,2623500,0.0,0.0
2000-09-27,6.0532,6.0532,5.9165,5.9911,1562100,0.0,0.0
2000-09-28,5.9227,6.0159,5.8854,6.0159,1677600,0.0,0.0
2000-09-29,5.96,5.9787,5.9041,5.9103,878700,0.0,0.0
2000-10-02,6.047,6.1527,6.047,6.0532,3394800,0.0,0.0
2000-10-03,6.2272,6.2583,6.1278,6.134,2890200,0.0,0.0
2000-10-04,6.1278,6.2024,6.0719,6.2024,2407200,0.0,0.0
2000-10-05,6.1775,6.2024,6.1402,6.1651,1098900,0.0,0.0
2000-10-06,6.1278,6.1278,5.9476,5.9911,1612800,0.0,0.0
2000-10-09,5.8854,5.9165,5.7984,5.9103,2677800,0.0,0.0
2000-10-10,5.8668,5.9289,5.8233,5.8792,1100400,0.0,0.0
2000-10-11,5.7176,5.7922,5.6803,5.7301,2254800,0.0,0.0
2000-10-12,5.7798,5.7922,5.556,5.5747,1856400,0.0,0.0
2000-10-13,5.4877,5.5685,5.4628,5.5685,4578000,0.0,0.0
2000-10-16,5.469,5.469,5.351,5.4131,1833900,0.0,0.0
2000-10-17,5.3882,5.4193,5.2204,5.264,2256300,0.0,0.0
2000-10-18,5.0278,5.121,4.9097,5.0651,9214200,0.0,0.0
2000-10-19,5.3261,5.4255,5.3012,5.4007,3585300,0.0,0.0
2000-10-20,5.4069,5.4815,5.3137,5.3945,2822400,0.0,0.0
2000-10-23,5.438,5.5125,5.351,5.3945,1967700,0.0,0.0
2000-10-24,5.6244,5.7176,5.5933,5.6679,3700200,0.0,0.0
2000-10-25,5.5933,5.6928,5.4815,5.525,2979900,0.0,0.0
2000-10-26,5.6306,5.7176,5.5747,5.6803,3248100,0.0,0.0
2000-10-27,5.8046,5.8419,5.786,5.8295,2118900,0.0,0.0
2000-10-30,5.7301,5.7549,5.6306,5.7238,1423500,0.0,0.0
2000-10-31,5.6617,5.7611,5.6182,5.7611,1734300,0.0,0.0
2000-11-01,5.6928,5.7798,5.6803,5.7176,1558200,0.0,0.0
2000-11-02,5.8357,5.8979,5.7922,5.8109,1503000,0.0,0.0
2000-11-03,5.8481,5.8606,5.7363,5.8046,1014300,0.0,0.0
2000-11-06,5.8606,5.8792,5.786,5.8046,1197000,0.0,0.0
2000-11-07,5.8046,5.8481,5.7549,5.8046,307200,0.0,0.0
2000-11-08,5.8544,5.8544,5.6928,5.7052,1161300,0.0,0.0
2000-11-09,5.5001,5.612,5.4504,5.5436,3571500,0.0,0.0
2000-11-10,5.3696,5.4007,5.295,5.3137,2518800,0.0,0.0
2000-11-13,5.2018,5.3572,5.1707,5.2888,2160000,0.0,0.0
2000-11-14,5.469,5.6306,5.4504,5.5996,3248400,0.0,0.0
2000-11-15,5.5685,5.6058,5.5312,5.5498,1865700,0.0,0.0
2000-11-16,5.4131,5.4193,5.2267,5.2826,2998200,0.0,0.0
2000-11-17,5.3012,5.3012,5.1769,5.2204,2589000,0.0,0.0
2000-11-20,5.0837,5.1645,5.0216,5.0837,3082500,0.0,0.0
2000-11-21,4.8786,5.0029,4.8351,4.947,8363400,0.0,0.0
2000-11-22,4.686,4.7543,4.6549,4.717,5502300,0.0,0.0
2000-11-24,4.8227,4.9221,4.8165,4.8848,1665900,0.0,0.0
2000-11-27,4.9967,5.0029,4.7978,4.8351,2004000,0.0,0.0
2000-11-28,4.6922,4.7233,4.5928,4.6425,2414100,0.0,0.0
2000-11-29,4.7854,4.8227,4.6984,4.7792,2442900,0.0,0.0
2000-11-30,4.6922,4.7357,4.5803,4.7046,3321900,0.0,0.0
2000-12-01,4.7854,4.86,4.7295,4.7668,1888800,0.0,0.0
2000-12-04,4.7854,4.8538,4.6984,4.7916,1674300,0.0,0.0
2000-12-05,4.9159,5.1832,4.9035,5.1397,3324600,0.0,0.0
2000-12-06,5.1583,5.2018,4.9781,5.034,4214400,0.0,0.0
2000-12-07,5.0526,5.1148,4.9781,5.1148,2591700,0.0,0.0
2000-12-08,5.1334,5.2142,5.0962,5.121,1714500,0.0,0.0
2000-12-11,5.2515,5.2826,5.1894,5.2391,5965200,0.0,0.0
2000-12-12,5.3261,5.3758,5.295,5.3199,1730700,0.0,0.0
2000-12-13,5.3634,5.3758,5.208,5.2267,1478700,0.0,0.0
2000-12-14,5.2702,5.2888,5.1334,5.1707,1454100,0.0,0.0
2000-12-15,5.0775,5.1086,4.9346,4.9719,2058300,0.0,0.0
2000-12-18,4.9035,4.9097,4.8165,4.8476,1584000,0.0,0.0
2000-12-19,4.8848,4.9656,4.8662,4.8662,1595100,0.0,0.0
2000-12-20,4.8538,4.8973,4.599,4.6425,2424000,0.0,0.0
2000-12-21,4.6922,4.7481,4.5803,4.6798,3725100,0.0,0.0
2000-12-22,4.8351,4.9035,4.7233,4.773,1869000,0.0,0.0
2000-12-26,4.773,4.8662,4.773,4.8662,872400,0.0,0.0
2000-12-27,4.8848,4.9594,4.8476,4.947,2055300,0.0,0.0
2000-12-28,4.8227,4.9035,4.8041,4.9035,1310700,0.0,0.0
2000-12-29,4.8911,5.0029,4.8476,4.9719,687300,0.0,0.0
2001-01-02,5.084,5.0903,4.8811,4.9635,2055000,0.0,1.02
2001-01-03,4.9635,5.5784,4.9445,5.477,6917100,0.0,0.0
2001-01-04,5.4136,5.4897,5.3819,5.4136,2106600,0.0,0.0
2001-01-05,5.5974,5.6291,5.5024,5.5277,2089500,0.0,0.0
2001-01-08,5.4199,5.496,5.3629,5.4897,1346700,0.0,0.0
2001-01-09,5.3566,5.458,5.3185,5.4199,1875000,0.0,0.0
