Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-01,18.5,23.770000457763672,18.299999237060547,19.729999542236328,26913500,0,0
2018-09-01,19.649999618530273,19.8799991607666,13.319999694824219,14.510000228881836,18190400,0,0
2018-10-01,14.449999809265137,15.119999885559082,11.5,13.59000015258789,13524500,0,0
2018-11-01,13.680000305175781,14.289999961853027,11.84000015258789,12.029999732971191,6533800,0,0
2018-12-01,10.989999771118164,11.75,8.760000228881836,9.979999542236328,10138100,0,0
2019-01-01,9.829999923706055,10.5,6.599999904632568,7.190000057220459,43953700,0,0
2019-02-01,7.179999828338623,7.820000171661377,3.369999885559082,4.329999923706055,103881900,0,0
2019-03-01,4.349999904632568,4.840000152587891,3.8399999141693115,4.130000114440918,32162100,0,0
2019-04-01,4.150000095367432,4.320000171661377,3.7100000381469727,3.9700000286102295,14456800,0,0
2019-05-01,4.409999847412109,4.659999847412109,3.390000104904175,3.430000066757202,19268000,0,0
2019-06-01,3.4100000858306885,4.170000076293945,3.2799999713897705,4.010000228881836,13724900,0,0
2019-07-01,4.039999961853027,4.559999942779541,3.799999952316284,4.300000190734863,16172600,0,0
2019-08-01,4.289999961853027,4.489999771118164,2.7100000381469727,3.140000104904175,16380300,0,0
2019-09-01,3.109999895095825,3.7799999713897705,3.0799999237060547,3.4100000858306885,11501600,0,0
2019-10-01,3.440000057220459,3.630000114440918,2.940000057220459,3.5199999809265137,11318800,0,0
2019-11-01,3.4200000762939453,3.549999952316284,2.6600000858306885,3.4600000381469727,17737200,0,0
2019-12-01,3.490000009536743,4.800000190734863,3.0799999237060547,4.210000038146973,19773400,0,0
2020-01-01,4.190000057220459,5.130000114440918,4.059999942779541,4.269999980926514,14122800,0,0
2020-02-01,4.25,4.659999847412109,3.0899999141693115,3.2799999713897705,20131500,0,0
2020-03-01,3.309999942779541,3.380000114440918,1.2000000476837158,2.430000066757202,26875800,0,0
2020-04-01,2.259999990463257,2.990000009536743,1.8200000524520874,2.740000009536743,15241300,0,0
2020-05-01,2.5799999237060547,2.9000000953674316,1.909999966621399,2.2100000381469727,19261500,0,0
2020-06-01,2.240000009536743,2.9700000286102295,2.1700000762939453,2.5799999237060547,20406700,0,0
2020-07-01,2.5799999237060547,5.400000095367432,2.4800000190734863,4.21999979019165,44027100,0,0
2020-08-01,4.449999809265137,7.300000190734863,4.289999961853027,5.730000019073486,50504300,0,0
2020-09-01,5.699999809265137,6.130000114440918,4.860000133514404,5.260000228881836,22174200,0,0
2020-10-01,5.289999961853027,6.28000020980835,4.329999923706055,4.460000038146973,13775700,0,0
2020-11-01,4.539999961853027,5.699999809265137,4.460000038146973,5.039999961853027,3432700,0,0
2020-11-06,5.46999979019165,5.699999809265137,4.810800075531006,5.039999961853027,1041281,0,0
