Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-09-01,6.1962,6.3951,5.6617,5.9103,63348900.0,0.0,0.0
2000-10-01,6.047,6.2583,4.9097,5.7611,60756000.0,0.0,0.0
2000-11-01,5.6928,5.8979,4.5803,4.7046,54489600.0,0.0,0.0
2000-12-01,4.7854,5.3758,4.5803,4.9719,44218200.0,0.0,0.0
2001-01-01,5.084,6.1299,4.8811,5.8056,52509900.0,0.0,0.0
2001-01-02,,,,,,0.0,1.02
2001-02-01,5.8827,5.8888,4.7346,5.1474,34986600.0,0.0,0.0
2001-03-01,5.2244,5.7086,4.3761,4.9555,51659700.0,0.0,0.0
2001-03-01,,,,,,0.0,1.02
2001-04-01,4.8458,5.5803,4.8106,5.1996,53326500.0,0.0,0.0
2001-05-01,5.1882,5.3382,4.5437,4.5923,51117900.0,0.0,0.0
2001-06-01,4.552,4.6917,3.7761,3.8526,43711800.0,0.0,0.0
2001-07-01,3.9054,4.0068,3.4243,3.7554,35230800.0,0.0,0.0
2001-08-01,3.864,3.9157,3.4823,3.6468,31758900.0,0.0,0.0
2001-09-01,3.4554,3.5123,2.9505,3.5123,31857600.0,0.0,0.0
2001-10-01,3.383,3.8795,3.1564,3.6695,31644000.0,0.0,0.0
2001-11-01,3.6726,4.491,3.5681,4.1289,37825800.0,0.0,0.0
2001-12-01,4.0451,4.4847,4.0347,4.1465,21009000.0,0.0,0.0
2002-01-01,4.2416,4.4227,3.6733,3.7482,23660400.0,0.0,0.0
2002-01-22,,,,,,0.0,1.02
2002-02-01,3.7841,3.8199,3.382,3.7028,17370000.0,0.0,0.0
2002-03-01,3.7007,3.9835,3.5508,3.5638,24821400.0,0.0,0.0
2002-03-19,,,,,,0.0,1.02
2002-04-01,3.5788,3.8371,3.4002,3.4777,19853100.0,0.0,0.0
2002-05-01,3.4604,3.5638,3.1214,3.3797,18802200.0,0.0,0.0
2002-06-01,3.3808,3.4389,2.5262,2.6747,23848200.0,0.0,0.0
2002-07-01,2.7737,3.2914,2.5186,2.8943,49740600.0,0.0,0.0
2002-08-01,2.8405,3.1332,2.6908,2.9664,28243200.0,0.0,0.0
2002-09-01,2.9072,2.947,2.3357,2.4045,19047000.0,0.0,0.0
2002-10-01,2.3959,3.0945,2.3335,3.0407,26594700.0,0.0,0.0
2002-11-01,3.0137,3.3097,2.9481,3.2527,17535900.0,0.0,0.0
2002-12-01,3.3367,3.342,2.8092,2.8598,17053800.0,0.0,0.0
2003-01-01,2.933,3.4906,2.9276,3.1429,26157900.0,0.0,0.0
2003-01-23,,,,,,0.0,1.0
2003-02-01,3.1601,3.2527,2.9502,3.1074,14623800.0,0.0,0.0
