Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-01,65.0,74.17,59.94,72.47,58800500,0,0
2019-05-01,72.72,91.46,69.69,79.73,53272300,0,0
2019-06-01,80.0,107.34,75.65,88.79,65078600,0,0
2019-07-01,85.13,104.49,83.1,95.51,51718900,0,0
2019-08-01,95.75,98.66,87.29,91.67,23417000,0,0
2019-09-01,91.5,96.5,74.29,76.2,49826100,0,0
2019-10-01,76.43,78.49,60.97,69.89,75113100,0,0
2019-11-01,69.86,75.84,65.36,74.5,35020300,0,0
2019-12-01,74.06,74.5,62.02,68.04,59923500,0,0
2020-01-01,68.8,78.79,65.81,76.3,47782500,0,0
2020-02-01,77.69,121.93,77.51,105.0,143840000,0,0
2020-03-01,109.35,164.94,100.88,146.12,335926000,0,0
2020-04-01,144.5,181.5,108.53,135.17,371689900,0,0
2020-05-01,136.0,179.99,132.67,179.48,168774800,0,0
2020-06-01,183.18,261.62,183.0,253.54,312276900,0,0
2020-07-01,251.35,281.0,237.2,253.91,133749100,0,0
2020-08-01,256.83,295.97,230.0,289.68,85510500,0,0
2020-08-21,291.0,295.97,286.95,289.68,5250117,0,0
