Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-15,65.0,66.0,60.32,62.0,25764700,0,0
2019-04-22,61.0,74.17,59.94,66.22,27100400,0,0
2019-04-29,66.53,80.25,64.75,79.18,14352900,0,0
2019-05-06,75.01,80.79,73.25,79.63,9195800,0,0
2019-05-13,77.39,90.28,70.6,89.98,15273300,0,0
2019-05-20,90.1,91.46,74.2,76.25,13642000,0,0
2019-05-27,76.8,83.17,73.58,79.73,6743700,0,0
2019-06-03,80.0,98.89,75.65,94.05,16513000,0,0
2019-06-10,98.51,105.99,91.57,100.29,17455300,0,0
2019-06-17,101.0,107.34,97.0,100.47,12426800,0,0
2019-06-24,100.85,101.5,84.61,88.79,18683500,0,0
2019-07-01,85.13,91.97,83.1,91.88,12481600,0,0
2019-07-08,91.44,94.93,89.1,93.3,9884300,0,0
2019-07-15,94.0,101.99,92.88,93.38,12053100,0,0
2019-07-22,94.19,104.49,93.5,102.2,9919400,0,0
2019-07-29,102.6,103.0,92.1,93.66,10028000,0,0
2019-08-05,90.7,95.84,87.29,94.2,5525300,0,0
2019-08-12,93.05,96.22,89.69,92.53,5551300,0,0
2019-08-19,94.18,96.2,90.41,91.63,4983500,0,0
2019-08-26,92.33,93.69,88.71,91.67,4709400,0,0
2019-09-02,91.5,96.5,84.86,85.41,16221100,0,0
2019-09-09,85.75,85.94,76.81,78.85,14912500,0,0
2019-09-16,78.5,86.0,78.26,82.63,9322100,0,0
2019-09-23,82.29,83.6,75.09,76.04,8013900,0,0
2019-09-30,76.13,78.49,73.39,76.53,8528600,0,0
2019-10-07,76.99,77.43,70.9,71.35,10752900,0,0
2019-10-14,70.46,71.27,64.53,66.08,27172300,0,0
2019-10-21,65.29,66.5,60.97,63.45,16605600,0,0
2019-10-28,63.96,70.55,62.26,70.39,16972000,0,0
2019-11-04,70.81,70.85,65.36,69.85,7297000,0,0
2019-11-11,69.51,71.1,66.71,70.01,8179800,0,0
2019-11-18,70.47,74.0,68.19,73.16,10340300,0,0
2019-11-25,73.8,75.84,72.86,74.5,5641400,0,0
2019-12-02,74.06,74.5,62.11,62.74,22585500,0,0
2019-12-09,62.39,67.27,62.02,63.54,18622100,0,0
2019-12-16,63.59,68.48,63.56,66.93,11632700,0,0
2019-12-23,67.02,68.19,65.74,66.64,4569100,0,0
2019-12-30,66.56,69.24,65.52,67.28,4957500,0,0
2020-01-06,66.63,74.0,65.81,73.09,17046400,0,0
2020-01-13,73.89,78.79,72.26,75.56,13575800,0,0
2020-01-20,75.56,77.12,72.38,73.0,6047500,0,0
2020-01-27,71.33,76.67,70.26,76.3,8669400,0,0
2020-02-03,77.69,93.3,77.51,88.64,33808600,0,0
2020-02-10,89.09,91.93,86.52,90.95,12176000,0,0
2020-02-17,93.02,110.75,92.4,101.76,30214400,0,0
2020-02-24,97.8,121.93,97.02,105.0,67641000,0,0
2020-03-02,109.35,129.83,102.5,114.32,84418800,0,0
2020-03-09,105.0,116.5,100.88,107.47,58723400,0,0
2020-03-16,105.0,135.98,102.0,130.55,79647500,0,0
2020-03-23,142.0,164.94,133.88,151.7,87350400,0,0
2020-03-30,160.76,161.69,114.5,128.2,76791100,0,0
2020-04-06,113.63,125.88,108.53,124.51,87301400,0,0
2020-04-13,127.0,154.25,125.6,150.06,67751500,0,0
2020-04-20,153.3,181.5,138.36,158.8,93689900,0,0
2020-04-27,156.59,167.85,132.67,138.56,85748900,0,0
2020-05-04,140.77,162.0,140.45,155.4,38060100,0,0
2020-05-11,159.43,175.44,158.0,174.83,43583400,0,0
2020-05-18,170.03,177.8,162.64,171.06,34859800,0,0
2020-05-25,169.1,179.99,149.16,179.48,38464500,0,0
2020-06-01,183.18,224.46,183.0,207.6,130149200,0,0
2020-06-08,204.35,232.0,198.66,219.52,56602200,0,0
2020-06-15,227.84,243.88,226.38,243.48,56402200,0,0
2020-06-22,247.46,261.62,247.29,256.8,54381400,0,0
2020-06-29,254.97,263.8,243.59,261.74,27174200,0,0
2020-07-06,265.0,278.16,258.1,275.87,37833600,0,0
2020-07-13,278.63,281.0,240.45,246.54,34126400,0,0
2020-07-20,246.49,271.35,237.2,246.56,28021100,0,0
2020-07-27,249.28,259.93,239.32,253.91,21335700,0,0
2020-08-03,256.83,275.09,252.79,258.73,23009100,0,0
2020-08-10,259.14,261.44,230.0,244.91,27789300,0,0
2020-08-17,248.7,295.97,248.51,289.68,34712100,0,0
2020-08-21,291.0,295.97,286.95,289.68,5250117,0,0
